Mutant,clk-1,daf-2,glp-1,ife-2,isp-1,nuo-6,osm-5,sod-2,eat-2
WBGene00001387,1,1,1,1,1,1,1,1,1
WBGene00008538,1,1,0,1,1,1,1,1,1
WBGene00017133,1,1,1,1,1,1,1,1,0
WBGene00001685,1,1,1,1,1,1,1,0,1
WBGene00007691,1,1,1,1,1,1,0,1,1
WBGene00001684,1,1,1,1,1,1,1,0,1
WBGene00017864,1,1,1,1,1,1,1,0,1
WBGene00138721,1,1,1,1,1,1,0,1,1
WBGene00010985,1,1,0,1,1,1,1,1,0
WBGene00013481,1,1,1,1,1,1,1,0,0
WBGene00003124,1,1,1,1,1,1,1,0,0
WBGene00021219,1,1,1,1,1,1,0,1,0
WBGene00005647,1,1,1,1,1,1,1,0,0
WBGene00015067,1,1,1,1,1,1,0,1,0
WBGene00003702,1,1,1,1,1,1,0,1,0
WBGene00008739,1,1,1,1,1,1,1,0,0
WBGene00008816,1,0,0,1,1,1,1,1,1
WBGene00010539,1,1,0,1,1,1,1,0,0
WBGene00004932,1,1,0,1,1,1,1,0,0
WBGene00014254,1,0,0,1,1,1,1,1,0
WBGene00011979,1,1,0,1,1,1,1,0,0
WBGene00014213,1,1,1,1,1,1,0,1,0
WBGene00000013,1,1,1,1,1,1,1,0,0
WBGene00020566,1,1,1,1,0,1,1,0,1
WBGene00016046,1,1,1,1,1,1,0,1,0
WBGene00016849,1,1,1,1,1,1,0,1,0
WBGene00009340,1,1,1,1,1,1,1,0,0
WBGene00235133,1,1,1,1,1,1,0,1,0
WBGene00021079,1,1,1,1,1,1,1,0,0
WBGene00009835,1,1,1,1,1,1,0,1,0
WBGene00008334,1,1,1,1,1,1,0,1,0
WBGene00044212,0,1,1,1,1,1,1,1,0
WBGene00023417,0,1,1,1,1,1,1,0,1
WBGene00021107,1,1,1,0,1,1,0,1,0
WBGene00008010,1,1,1,0,1,1,0,1,0
WBGene00009572,1,1,1,0,1,1,0,1,0
WBGene00077636,1,1,1,0,1,1,0,1,0
WBGene00021671,1,1,1,0,1,1,0,1,0
WBGene00021106,1,1,1,0,1,1,0,1,0
WBGene00012898,1,1,1,0,1,1,0,1,0
WBGene00016551,1,1,1,0,1,1,0,1,0
WBGene00007454,1,1,1,0,1,1,0,1,0
WBGene00015642,1,1,0,0,1,1,1,1,0
WBGene00011009,1,1,1,0,1,1,0,1,0
WBGene00003680,1,1,1,0,1,1,0,1,0
WBGene00015573,1,1,1,0,1,1,0,1,0
WBGene00017126,1,0,0,1,1,1,1,0,1
WBGene00008681,1,1,1,0,1,1,0,1,0
WBGene00017082,1,0,0,1,1,1,1,1,0
WBGene00008296,1,1,0,1,1,1,0,1,0
WBGene00011305,1,1,1,0,1,1,0,1,0
WBGene00022076,1,1,0,1,1,1,0,1,0
WBGene00016097,1,1,1,1,1,1,0,0,0
WBGene00019113,1,1,1,1,1,1,0,0,0
WBGene00003722,1,1,1,0,1,1,0,1,0
WBGene00019968,1,0,1,1,1,1,0,1,0
WBGene00003528,1,1,1,1,1,1,0,0,0
WBGene00010001,1,1,1,1,1,1,0,0,0
WBGene00013947,1,0,0,1,1,1,1,0,1
WBGene00019789,1,1,1,0,1,1,0,1,0
WBGene00021043,1,1,0,1,1,1,0,1,0
WBGene00013216,1,1,0,1,1,1,0,1,0
WBGene00001762,1,1,1,0,1,1,0,1,0
WBGene00020242,1,1,1,0,1,1,0,1,0
WBGene00013896,1,1,1,1,1,1,0,0,0
WBGene00020658,1,1,0,1,1,1,1,0,0
WBGene00018400,1,1,0,1,1,1,1,0,0
WBGene00019090,1,0,1,1,1,1,0,1,0
WBGene00011583,1,1,0,1,1,1,1,0,0
WBGene00010904,1,0,0,1,1,1,0,1,1
WBGene00008862,1,1,1,0,1,1,0,1,0
WBGene00016505,1,1,1,1,1,1,0,0,0
WBGene00010184,1,1,1,0,1,1,0,1,0
WBGene00008032,1,0,1,1,1,1,1,0,0
WBGene00015076,1,1,1,1,1,0,0,1,0
WBGene00016511,1,1,1,0,1,1,0,1,0
WBGene00003647,1,1,1,0,1,1,0,1,0
WBGene00017315,1,1,1,0,1,1,0,1,0
WBGene00016863,1,1,1,1,1,1,0,0,0
WBGene00008477,1,1,1,0,1,1,0,1,0
WBGene00011561,1,0,1,1,0,1,1,0,1
WBGene00008519,1,1,1,0,1,1,0,1,0
WBGene00007694,1,1,1,0,1,1,0,1,0
WBGene00020153,1,0,1,1,1,1,0,1,0
WBGene00002270,1,1,1,1,1,1,0,0,0
WBGene00001752,1,0,1,1,1,1,1,0,0
WBGene00019963,1,0,0,1,1,1,0,1,1
WBGene00011328,1,1,1,0,1,1,0,1,0
WBGene00011232,1,1,0,1,1,1,1,0,0
WBGene00044658,1,1,1,0,1,1,0,1,0
WBGene00017127,1,0,1,1,1,1,1,0,0
WBGene00019006,1,1,1,0,1,1,1,0,0
WBGene00011522,1,1,0,1,1,1,0,1,0
WBGene00013480,1,0,1,1,1,1,1,0,0
WBGene00013489,1,1,0,1,1,1,1,0,0
WBGene00000677,1,1,0,1,1,1,1,0,0
WBGene00009396,1,1,0,1,1,1,1,0,0
WBGene00013215,1,1,1,1,1,1,0,0,0
WBGene00019622,1,0,0,1,1,1,1,0,1
WBGene00015059,1,0,1,1,1,1,1,0,0
WBGene00017961,1,0,1,1,1,1,0,1,0
WBGene00015332,1,1,1,0,1,1,0,1,0
WBGene00017166,1,1,0,1,1,1,1,0,0
WBGene00000673,1,1,0,1,1,1,1,0,0
WBGene00008415,1,1,0,1,1,1,1,0,0
WBGene00016677,1,1,0,1,1,1,1,0,0
WBGene00022191,1,0,0,1,1,1,1,0,1
WBGene00012457,1,0,0,1,1,1,1,0,1
WBGene00001955,1,1,1,1,1,1,0,0,0
WBGene00010585,1,1,1,0,1,1,0,1,0
WBGene00007989,1,1,1,1,1,1,0,0,0
WBGene00012987,1,1,0,1,1,1,1,0,0
WBGene00008810,1,0,1,1,1,1,0,1,0
WBGene00007322,1,0,1,1,1,1,0,1,0
WBGene00044167,1,0,0,1,1,1,1,1,0
WBGene00019232,1,1,0,1,1,1,1,0,0
WBGene00019961,1,0,0,1,1,1,1,0,1
WBGene00000073,1,1,0,1,1,1,1,0,0
